phone	retailer_type	retailer_name		distribution_route	area	city
201000191531	Cafe	برينسس كافيه		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201000191531	Cafe	برينسس كافيه				
201000191531	Cafe	برينسس كافيه		حي مدينه نصر‎‎‎‎		
201000191531	Cafe	برينسس كافيه		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201000197718	Cafe	استشيو		الشيخ زايد	الشيخ زايد	الجيزه
201000197718	Cafe	استشيو				
201000197718	Cafe	استشيو		الشيخ زايد		
201000197718	Cafe	استشيو		الشيخ زايد	الشيخ زايد	
201000208228	School	مدرسة المنهل		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201000208228	School	مدرسة المنهل		مدينة نصر	مدينة نصر‎‎‎‎	القاهرة
201000208228	School	مدرسة المنهل		مدينه نصر	مدينة نصر‎‎‎‎	القاهرة
201000208228	School	مدرسة المنهل				
201000208228	School	مدرسة المنهل		حي مدينه نصر‎‎‎‎		
201000208228	School	مدرسة المنهل		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201000208228	School	مدرسة المنهل		مدينة نصر		
201000208228	School	مدرسة المنهل		مدينة نصر	مدينة نصر‎‎‎‎	
201000208228	School	مدرسة المنهل		مدينه نصر		
201000208228	School	مدرسة المنهل		مدينه نصر	مدينة نصر‎‎‎‎	
201000232030	Restaurant	حطب فرايد تسكن		حدائق الاهرام	حدائق الاهرام	الجيزه
201000232030	Restaurant	حطب فرايد تسكن				
201000232030	Restaurant	حطب فرايد تسكن		حدائق الاهرام		
201000232030	Restaurant	حطب فرايد تسكن		حدائق الاهرام	حدائق الاهرام	
201000236100	Restaurant	بريميم فود		حدائق القبة	حدائق القبة	القاهرة
201000236100	Restaurant	بريميم فود				
201000236100	Restaurant	بريميم فود		حدائق القبة		
201000236100	Restaurant	بريميم فود		حدائق القبة	حدائق القبة	
201000252591	Restaurant	مطعم زاد		6 اكتوبر	6 اكتوبر	الجيزه
201000252591	Restaurant	مطعم زاد				
201000252591	Restaurant	مطعم زاد		6 اكتوبر		
201000252591	Restaurant	مطعم زاد		6 اكتوبر	6 اكتوبر	
201000306195	Restaurant	SMASH N'GO		سان ستيفانو	سان ستيفانو	الإسكندرية
201000306195	Restaurant	SMASH N'GO				
201000306195	Restaurant	SMASH N'GO		سان ستيفانو		
201000306195	Restaurant	SMASH N'GO		سان ستيفانو	سان ستيفانو	
201000334474	Company	Wiki food		6 اكتوبر	6 اكتوبر	الجيزه
201000334474	Company	Wiki food		الشيخ زايد	الشيخ زايد	الجيزه
201000334474	Company	Wiki food				
201000334474	Company	Wiki food		6 اكتوبر		
201000334474	Company	Wiki food		6 اكتوبر	6 اكتوبر	
201000334474	Company	Wiki food		الشيخ زايد		
201000334474	Company	Wiki food		الشيخ زايد	الشيخ زايد	
201000417903	Cafe	بلال		سيدي جابر - رشدي	سيدي جابر - رشدي	الإسكندرية
201000417903	Cafe	بلال				
201000417903	Cafe	بلال		سيدي جابر - رشدي		
201000417903	Cafe	بلال		سيدي جابر - رشدي	سيدي جابر - رشدي	
201000420944	Restaurant	جمبري و سبيط		جليم	جليم	الإسكندرية
201000420944	Restaurant	جمبري و سبيط				
201000420944	Restaurant	جمبري و سبيط		جليم		
201000420944	Restaurant	جمبري و سبيط		جليم	جليم	
201000448321	Cafe	السروجي كافيه		سان ستيفانو	سان ستيفانو	الإسكندرية
201000448321	Cafe	السروجي كافيه				
201000448321	Cafe	السروجي كافيه		سان ستيفانو		
201000448321	Cafe	السروجي كافيه		سان ستيفانو	سان ستيفانو	
201000501822	Cafe	باريستا		مركز مطاي	مركز مطاي	المنيا
201000501822	Cafe	باريستا				
201000501822	Cafe	باريستا		مركز مطاي		
201000501822	Cafe	باريستا		مركز مطاي	مركز مطاي	
201000522829	Cafe	ajax		الزقازيق 3	الزقازيق 4	الزقازيق
201000522829	Cafe	ajax		الزقازيق 3	الزقازيق3	الزقازيق
201000522829	Cafe	ajax		الزقازيق 3	الزقازيق5	الزقازيق
201000522829	Cafe	ajax		الزقازيق3	الزقازيق 2	الزقازيق
201000522829	Cafe	ajax		الزقازيق3	الزقازيق 4	الزقازيق
201000522829	Cafe	ajax		الزقازيق3	الزقازيق3	الزقازيق
201000522829	Cafe	ajax		الزقازيق3	الزقازيق5	الزقازيق
201000522829	Cafe	ajax				
201000522829	Cafe	ajax		الزقازيق 3		
201000522829	Cafe	ajax		الزقازيق 3	الزقازيق 4	
201000522829	Cafe	ajax		الزقازيق 3	الزقازيق3	
201000522829	Cafe	ajax		الزقازيق 3	الزقازيق5	
201000522829	Cafe	ajax		الزقازيق3		
201000522829	Cafe	ajax		الزقازيق3	الزقازيق 2	
201000522829	Cafe	ajax		الزقازيق3	الزقازيق 4	
201000522829	Cafe	ajax		الزقازيق3	الزقازيق3	
201000522829	Cafe	ajax		الزقازيق3	الزقازيق5	
201000545875	Cafe	Analog		المنصورة غرب	المنصورة غرب	المنصورة
201000545875	Cafe	Analog		المنصورة غرب 2	المنصورة غرب	المنصورة
201000545875	Cafe	Analog				
201000545875	Cafe	Analog		المنصورة غرب		
201000545875	Cafe	Analog		المنصورة غرب	المنصورة غرب	
201000545875	Cafe	Analog		المنصورة غرب 2		
201000545875	Cafe	Analog		المنصورة غرب 2	المنصورة غرب	
201000575499	Restaurant	Hassan		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201000575499	Restaurant	Hassan		مدينه نصر	مدينة نصر‎‎‎‎	القاهرة
201000575499	Restaurant	Hassan				
201000575499	Restaurant	Hassan		حي مدينه نصر‎‎‎‎		
201000575499	Restaurant	Hassan		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201000575499	Restaurant	Hassan		مدينه نصر		
201000575499	Restaurant	Hassan		مدينه نصر	مدينة نصر‎‎‎‎	
201000626865	Cafe	كافيه ٢٣ يوليو		الرجبي	الرجبي	المحلة الكبرى
201000626865	Cafe	كافيه ٢٣ يوليو				
201000626865	Cafe	كافيه ٢٣ يوليو		الرجبي		
201000626865	Cafe	كافيه ٢٣ يوليو		الرجبي	الرجبي	
201000656010	Restaurant	بريفادو كافيه		الدقي	الدقي	الجيزه
201000656010	Restaurant	بريفادو كافيه				
201000656010	Restaurant	بريفادو كافيه		الدقي		
201000656010	Restaurant	بريفادو كافيه		الدقي	الدقي	
201000667661	Restaurant	حاره شاميه		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201000667661	Restaurant	حاره شاميه				
201000667661	Restaurant	حاره شاميه		حي مدينه نصر‎‎‎‎		
201000667661	Restaurant	حاره شاميه		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201000668203	Cafe	بوفيه هيئة النيابة الادارية		6 اكتوبر	6 اكتوبر	الجيزه
201000668203	Cafe	بوفيه هيئة النيابة الادارية		6 أكتوبر (1)	6 اكتوبر	الجيزه
201000668203	Cafe	بوفيه هيئة النيابة الادارية				
201000668203	Cafe	بوفيه هيئة النيابة الادارية		6 اكتوبر		
201000668203	Cafe	بوفيه هيئة النيابة الادارية		6 اكتوبر	6 اكتوبر	
201000668203	Cafe	بوفيه هيئة النيابة الادارية		6 أكتوبر (1)		
201000668203	Cafe	بوفيه هيئة النيابة الادارية		6 أكتوبر (1)	6 اكتوبر	
201000705574	Cafe	بن الطحان		عين شمس	عين شمس	القاهرة
201000705574	Cafe	بن الطحان		عين شمس (جديد)	عين شمس	القاهرة
201000705574	Cafe	بن الطحان				
201000705574	Cafe	بن الطحان		عين شمس		
201000705574	Cafe	بن الطحان		عين شمس	عين شمس	
201000705574	Cafe	بن الطحان		عين شمس (جديد)		
201000705574	Cafe	بن الطحان		عين شمس (جديد)	عين شمس	
201000746300	Company	Ahmed food		مدينة نصر	مدينة نصر‎‎‎‎	القاهرة
201000746300	Company	Ahmed food				
201000746300	Company	Ahmed food		مدينة نصر		
201000746300	Company	Ahmed food		مدينة نصر	مدينة نصر‎‎‎‎	
201000780883	Restaurant	كشري مصر		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201000780883	Restaurant	كشري مصر		مدينة نصر	مدينة نصر‎‎‎‎	القاهرة
201000780883	Restaurant	كشري مصر				
201000780883	Restaurant	كشري مصر		حي مدينه نصر‎‎‎‎		
201000780883	Restaurant	كشري مصر		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201000780883	Restaurant	كشري مصر		مدينة نصر		
201000780883	Restaurant	كشري مصر		مدينة نصر	مدينة نصر‎‎‎‎	
201000796628	Cafe	بلاي ستيشن cr7		الفيوم شرق	الفيوم شرق	الفيوم
201000796628	Cafe	بلاي ستيشن cr7				
201000796628	Cafe	بلاي ستيشن cr7		الفيوم شرق		
201000796628	Cafe	بلاي ستيشن cr7		الفيوم شرق	الفيوم شرق	
201000813663	Restaurant	zeusburger 		اكتوبر	6 اكتوبر	الجيزه
201000813663	Restaurant	zeusburger 				
201000813663	Restaurant	zeusburger 		اكتوبر		
201000813663	Restaurant	zeusburger 		اكتوبر	6 اكتوبر	
201000837778	Cafe	كافيه مستشفى اي فيجن		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201000837778	Cafe	كافيه مستشفى اي فيجن		مدينة نصر	مدينة نصر‎‎‎‎	القاهرة
201000837778	Cafe	كافيه مستشفى اي فيجن		مصر الجديدة	مدينة نصر‎‎‎‎	القاهرة
201000837778	Cafe	كافيه مستشفى اي فيجن		مصر الجديدة	مصر الجديدة	القاهرة
201000837778	Cafe	كافيه مستشفى اي فيجن				
201000837778	Cafe	كافيه مستشفى اي فيجن		حي مدينه نصر‎‎‎‎		
201000837778	Cafe	كافيه مستشفى اي فيجن		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201000837778	Cafe	كافيه مستشفى اي فيجن		مدينة نصر		
201000837778	Cafe	كافيه مستشفى اي فيجن		مدينة نصر	مدينة نصر‎‎‎‎	
201000837778	Cafe	كافيه مستشفى اي فيجن		مصر الجديدة		
201000837778	Cafe	كافيه مستشفى اي فيجن		مصر الجديدة	مدينة نصر‎‎‎‎	
201000837778	Cafe	كافيه مستشفى اي فيجن		مصر الجديدة	مصر الجديدة	
201000866457	Cafe	كافية القبطان		المقطم	المقطم	القاهرة
201000866457	Cafe	كافية القبطان				
201000866457	Cafe	كافية القبطان		المقطم		
201000866457	Cafe	كافية القبطان		المقطم	المقطم	
201000881686	Cafe	ثري سي		مصر الجديدة	الزيتون	القاهرة
201000881686	Cafe	ثري سي		مصر الجديدة	عين شمس	القاهرة
201000881686	Cafe	ثري سي		مصر الجديدة	مدينة المستقبل	القاهرة
201000881686	Cafe	ثري سي		مصر الجديدة	مصر الجديدة	القاهرة
201000881686	Cafe	ثري سي		مصر الجديدة 	مصر الجديدة	القاهرة
201000881686	Cafe	ثري سي				
201000881686	Cafe	ثري سي		مصر الجديدة		
201000881686	Cafe	ثري سي		مصر الجديدة	الزيتون	
201000881686	Cafe	ثري سي		مصر الجديدة	عين شمس	
201000881686	Cafe	ثري سي		مصر الجديدة	مدينة المستقبل	
201000881686	Cafe	ثري سي		مصر الجديدة	مصر الجديدة	
201000881686	Cafe	ثري سي		مصر الجديدة 		
201000881686	Cafe	ثري سي		مصر الجديدة 	مصر الجديدة	
201000883844	Cafe	سيتي كافية		وسط البلد	وسط البلد 	القاهرة
201000883844	Cafe	سيتي كافية				
201000883844	Cafe	سيتي كافية		وسط البلد		
201000883844	Cafe	سيتي كافية		وسط البلد	وسط البلد 	
201000904733	Restaurant	Koky heart		الخصوص	الخصوص	القاهرة
201000904733	Restaurant	Koky heart				
201000904733	Restaurant	Koky heart		الخصوص		
201000904733	Restaurant	Koky heart		الخصوص	الخصوص	
201000919136	Restaurant	royal		التجمع و الرحاب	التجمع و الرحاب	القاهرة
201000919136	Restaurant	royal				
201000919136	Restaurant	royal		التجمع و الرحاب		
201000919136	Restaurant	royal		التجمع و الرحاب	التجمع و الرحاب	
201000921538	Company	طاجن ستو		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201000921538	Company	طاجن ستو				
201000921538	Company	طاجن ستو		حي مدينه نصر‎‎‎‎		
201000921538	Company	طاجن ستو		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201000922809	Cafe	السندباد		حلوان	حلوان	القاهرة
201000922809	Cafe	السندباد				
201000922809	Cafe	السندباد		حلوان		
201000922809	Cafe	السندباد		حلوان	حلوان	
201000947437	Cafe	كافيه تايم اوت		التجمع و الرحاب	التجمع و الرحاب	القاهرة
201000947437	Cafe	كافيه تايم اوت		التجمع والرحاب	التجمع و الرحاب	القاهرة
201000947437	Cafe	كافيه تايم اوت				
201000947437	Cafe	كافيه تايم اوت		التجمع و الرحاب		
201000947437	Cafe	كافيه تايم اوت		التجمع و الرحاب	التجمع و الرحاب	
201000947437	Cafe	كافيه تايم اوت		التجمع والرحاب		
201000947437	Cafe	كافيه تايم اوت		التجمع والرحاب	التجمع و الرحاب	
201000969836	Restaurant	Goovy		مصر الجديدة	مصر الجديدة	القاهرة
201000969836	Restaurant	Goovy				
201000969836	Restaurant	Goovy		مصر الجديدة		
201000969836	Restaurant	Goovy		مصر الجديدة	مصر الجديدة	
201000984324	Restaurant	مطعم الطيبين		الهرم	الهرم	الجيزه
201000984324	Restaurant	مطعم الطيبين		الهرم	فيصل	الجيزه
201000984324	Restaurant	مطعم الطيبين				
201000984324	Restaurant	مطعم الطيبين		الهرم		
201000984324	Restaurant	مطعم الطيبين		الهرم	الهرم	
201000984324	Restaurant	مطعم الطيبين		الهرم	فيصل	
201000990505	Cafe	كامب		الابراهيمية - كامب شيزار	الابراهيمية - كامب شيزار	الإسكندرية
201000990505	Cafe	كامب				
201000990505	Cafe	كامب		الابراهيمية - كامب شيزار		
201000990505	Cafe	كامب		الابراهيمية - كامب شيزار	الابراهيمية - كامب شيزار	
201001024812	Cafe	spot cafe		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201001024812	Cafe	spot cafe		مدينة نصر	مدينة نصر‎‎‎‎	القاهرة
201001024812	Cafe	spot cafe				
201001024812	Cafe	spot cafe		حي مدينه نصر‎‎‎‎		
201001024812	Cafe	spot cafe		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201001024812	Cafe	spot cafe		مدينة نصر		
201001024812	Cafe	spot cafe		مدينة نصر	مدينة نصر‎‎‎‎	
201001028189	Restaurant	حمزه		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201001028189	Restaurant	حمزه				
201001028189	Restaurant	حمزه		حي مدينه نصر‎‎‎‎		
201001028189	Restaurant	حمزه		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201001067791	Restaurant	مطعم ذاد الشام		السيوف	السيوف	الإسكندرية
201001067791	Restaurant	مطعم ذاد الشام				
201001067791	Restaurant	مطعم ذاد الشام		السيوف		
201001067791	Restaurant	مطعم ذاد الشام		السيوف	السيوف	
201001091130	Cafe	كافيه السكريه		المقطم	المقطم	القاهرة
201001091130	Cafe	كافيه السكريه				
201001091130	Cafe	كافيه السكريه		المقطم		
201001091130	Cafe	كافيه السكريه		المقطم	المقطم	
201001091537	Cafe	كافيه الفراعنة		فيصل	فيصل	الجيزه
201001091537	Cafe	كافيه الفراعنة		فيصل 	فيصل	الجيزه
201001091537	Cafe	كافيه الفراعنة				
201001091537	Cafe	كافيه الفراعنة		فيصل		
201001091537	Cafe	كافيه الفراعنة		فيصل	فيصل	
201001091537	Cafe	كافيه الفراعنة		فيصل 		
201001091537	Cafe	كافيه الفراعنة		فيصل 	فيصل	
201001112338	Restaurant	مطعم سمكه للمأكولات البحريه		عجوزة	العجوزة	الجيزه
201001112338	Restaurant	مطعم سمكه للمأكولات البحريه				
201001112338	Restaurant	مطعم سمكه للمأكولات البحريه		عجوزة		
201001112338	Restaurant	مطعم سمكه للمأكولات البحريه		عجوزة	العجوزة	
201001143660	Restaurant	بسترما مانو		التجمع و الرحاب	التجمع و الرحاب	القاهرة
201001143660	Restaurant	بسترما مانو		التجمع و الرحاب	مدينة المستقبل	القاهرة
201001143660	Restaurant	بسترما مانو		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201001143660	Restaurant	بسترما مانو		مدينة نصر	مدينة نصر‎‎‎‎	القاهرة
201001143660	Restaurant	بسترما مانو				
201001143660	Restaurant	بسترما مانو		التجمع و الرحاب		
201001143660	Restaurant	بسترما مانو		التجمع و الرحاب	التجمع و الرحاب	
201001143660	Restaurant	بسترما مانو		التجمع و الرحاب	مدينة المستقبل	
201001143660	Restaurant	بسترما مانو		حي مدينه نصر‎‎‎‎		
201001143660	Restaurant	بسترما مانو		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201001143660	Restaurant	بسترما مانو		مدينة نصر		
201001143660	Restaurant	بسترما مانو		مدينة نصر	مدينة نصر‎‎‎‎	
201001145685	Restaurant	كرسبي ميلز		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201001145685	Restaurant	كرسبي ميلز		مدينة نصر	مدينة نصر‎‎‎‎	القاهرة
201001145685	Restaurant	كرسبي ميلز				
201001145685	Restaurant	كرسبي ميلز		حي مدينه نصر‎‎‎‎		
201001145685	Restaurant	كرسبي ميلز		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201001145685	Restaurant	كرسبي ميلز		مدينة نصر		
201001145685	Restaurant	كرسبي ميلز		مدينة نصر	مدينة نصر‎‎‎‎	
201001366491	Cafe	كافيه تياترو		حدائق الاهرام	حدائق الاهرام	الجيزه
201001366491	Cafe	كافيه تياترو				
201001366491	Cafe	كافيه تياترو		حدائق الاهرام		
201001366491	Cafe	كافيه تياترو		حدائق الاهرام	حدائق الاهرام	
201001369812	Restaurant	Süss		6 اكتوبر	6 اكتوبر	الجيزه
201001369812	Restaurant	Süss		التجمع و الرحاب	التجمع و الرحاب	القاهرة
201001369812	Restaurant	Süss				
201001369812	Restaurant	Süss		6 اكتوبر		
201001369812	Restaurant	Süss		6 اكتوبر	6 اكتوبر	
201001369812	Restaurant	Süss		التجمع و الرحاب		
201001369812	Restaurant	Süss		التجمع و الرحاب	التجمع و الرحاب	
201001389155	Restaurant	لؤلؤ		6 اكتوبر	6 اكتوبر	الجيزه
201001389155	Restaurant	لؤلؤ				
201001389155	Restaurant	لؤلؤ		6 اكتوبر		
201001389155	Restaurant	لؤلؤ		6 اكتوبر	6 اكتوبر	
201001413726	Cafe	كافتيريا البركه		مدينة شرق النيل	مدينة شرق النيل	بني سويف
201001413726	Cafe	كافتيريا البركه				
201001413726	Cafe	كافتيريا البركه		مدينة شرق النيل		
201001413726	Cafe	كافتيريا البركه		مدينة شرق النيل	مدينة شرق النيل	
201001437925	Restaurant	khatwa aziza 2		سموحة	سموحة	الإسكندرية
201001437925	Restaurant	khatwa aziza 2				
201001437925	Restaurant	khatwa aziza 2		سموحة		
201001437925	Restaurant	khatwa aziza 2		سموحة	سموحة	
201001481847	Restaurant	solitaire		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201001481847	Restaurant	solitaire		مدينة نصر	مدينة نصر‎‎‎‎	القاهرة
201001481847	Restaurant	solitaire				
201001481847	Restaurant	solitaire		حي مدينه نصر‎‎‎‎		
201001481847	Restaurant	solitaire		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201001481847	Restaurant	solitaire		مدينة نصر		
201001481847	Restaurant	solitaire		مدينة نصر	مدينة نصر‎‎‎‎	
201001486827	Restaurant	الشرقاوي		شبرا	شبرا مصر	القاهرة
201001486827	Restaurant	الشرقاوي		شبرا مصر	شبرا مصر	القاهرة
201001486827	Restaurant	الشرقاوي				
201001486827	Restaurant	الشرقاوي		شبرا		
201001486827	Restaurant	الشرقاوي		شبرا	شبرا مصر	
201001486827	Restaurant	الشرقاوي		شبرا مصر		
201001486827	Restaurant	الشرقاوي		شبرا مصر	شبرا مصر	
201001491434	Cafe	الدكان		العبور	العبور	القاهرة
201001491434	Cafe	الدكان				
201001491434	Cafe	الدكان		العبور		
201001491434	Cafe	الدكان		العبور	العبور	
201001502704	Cafe	باباعبده كافيه		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	القاهرة
201001502704	Cafe	باباعبده كافيه				
201001502704	Cafe	باباعبده كافيه		حي مدينه نصر‎‎‎‎		
201001502704	Cafe	باباعبده كافيه		حي مدينه نصر‎‎‎‎	مدينة نصر‎‎‎‎	
201001617636	Cafe	برايم		التجمع و الرحاب	التجمع و الرحاب	القاهرة
201001617636	Cafe	برايم				
201001617636	Cafe	برايم		التجمع و الرحاب		
201001617636	Cafe	برايم		التجمع و الرحاب	التجمع و الرحاب	
201001656499	Restaurant	ابو علي		6 اكتوبر	6 اكتوبر	الجيزه
201001656499	Restaurant	ابو علي				
201001656499	Restaurant	ابو علي		6 اكتوبر		
201001656499	Restaurant	ابو علي		6 اكتوبر	6 اكتوبر	
201001683644	Cafe	city center		المنصورة غرب	المنصورة غرب	المنصورة
201001683644	Cafe	city center				
201001683644	Cafe	city center		المنصورة غرب		
201001683644	Cafe	city center		المنصورة غرب	المنصورة غرب	
201001686137	Cafe	اندومي بكار		مركز بنى مزار	مركز بنى مزار	المنيا
201001686137	Cafe	اندومي بكار				
201001686137	Cafe	اندومي بكار		مركز بنى مزار		
201001686137	Cafe	اندومي بكار		مركز بنى مزار	مركز بنى مزار	
201001729850	Cafe	Down the bridge		مصر الجديدة	مدينة المستقبل	القاهرة
201001729850	Cafe	Down the bridge		مصر الجديدة	مصر الجديدة	القاهرة
201001729850	Cafe	Down the bridge				
201001729850	Cafe	Down the bridge		مصر الجديدة		
201001729850	Cafe	Down the bridge		مصر الجديدة	مدينة المستقبل	
201001729850	Cafe	Down the bridge		مصر الجديدة	مصر الجديدة	
201001770707	Restaurant	w&m		التجمع و الرحاب	التجمع و الرحاب	القاهرة
201001770707	Restaurant	w&m				
201001770707	Restaurant	w&m		التجمع و الرحاب		
